"","REG","PROV","NOME_REGIONE","NOME_PROVINCIA","NOME_COMUNE","COD_PROVCOM","DATA_INIZIO_DIFF","CL_ETA","GE","MASCHI_15","MASCHI_16","MASCHI_17","MASCHI_18","MASCHI_19","MASCHI_20","FEMMINE_15","FEMMINE_16","FEMMINE_17","FEMMINE_18","FEMMINE_19","FEMMINE_20","TOTALE_15","TOTALE_16","TOTALE_17","TOTALE_18","TOTALE_19","TOTALE_20"
"1",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",17,108,0,0,0,1,0,9999,0,0,0,0,0,9999,0,0,0,1,0,9999
"2",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",19,112,1,0,0,0,0,9999,0,0,0,0,0,9999,1,0,0,0,0,9999
"3",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",18,113,0,0,0,0,0,9999,1,0,0,0,0,9999,1,0,0,0,0,9999
"4",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",20,118,0,0,0,0,0,9999,1,0,0,0,0,9999,1,0,0,0,0,9999
"5",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",18,122,0,0,1,0,0,9999,0,0,0,0,0,9999,0,0,1,0,0,9999
"6",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",19,128,0,0,0,0,0,9999,0,0,1,0,0,9999,0,0,1,0,0,9999
"7",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",20,129,0,0,0,0,0,9999,0,0,1,0,0,9999,0,0,1,0,0,9999
"8",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",20,130,0,0,0,0,0,9999,0,0,0,0,1,9999,0,0,0,0,1,9999
"9",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",19,202,0,0,0,0,0,9999,0,0,0,1,0,9999,0,0,0,1,0,9999
"10",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",13,209,0,0,0,1,0,9999,0,0,0,0,0,9999,0,0,0,1,0,9999
"11",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",15,219,0,0,0,0,0,9999,0,0,0,1,0,9999,0,0,0,1,0,9999
"12",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",16,220,0,0,0,0,0,9999,0,0,1,0,0,9999,0,0,1,0,0,9999
"13",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",17,220,0,0,0,0,0,9999,0,0,0,0,1,9999,0,0,0,0,1,9999
"14",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",13,304,1,0,0,0,0,9999,0,0,0,0,0,9999,1,0,0,0,0,9999
"15",3,98,"Lombardia","Lodi","Bertonico",98002,"Dati 2020 n.d.",17,306,0,0,0,1,0,9999,0,0,0,0,0,9999,0,0,0,1,0,9999
